"@timestamp per 30 minutes",user,system,nice,irq,softirq,iowait
"14:00","2.35%","0.32%","0.00%","0.00%","0.00%","0.53%"
"14:30","2.01%","0.30%","0.00%","0.00%","0.00%","0.55%"
"15:00","1.61%","0.28%","0.00%","0.00%","0.00%","0.53%"
"15:30","1.73%","0.28%","0.00%","0.00%","0.00%","0.56%"
"16:00","1.97%","0.32%","0.00%","0.00%","0.00%","0.55%"
"16:30","1.66%","0.29%","0.00%","0.00%","0.00%","0.54%"
"17:00","1.61%","0.28%","0.00%","0.00%","0.00%","0.52%"
"17:30","1.61%","0.28%","0.00%","0.00%","0.00%","0.56%"
"18:00","1.60%","0.28%","0.00%","0.00%","0.00%","0.54%"
"18:30","1.65%","0.28%","0.00%","0.00%","0.00%","0.55%"
"19:00","1.63%","0.28%","0.00%","0.00%","0.00%","0.54%"
"19:30","1.62%","0.28%","0.00%","0.00%","0.00%","0.58%"
"20:00","1.59%","0.28%","0.00%","0.00%","0.00%","0.53%"
"20:30","1.61%","0.28%","0.00%","0.00%","0.00%","0.55%"
"21:00","1.61%","0.28%","0.00%","0.00%","0.00%","0.55%"
"21:30","1.67%","0.29%","0.00%","0.00%","0.00%","0.57%"
"22:00","1.64%","0.28%","0.00%","0.00%","0.00%","0.56%"
"22:30","1.63%","0.28%","0.00%","0.00%","0.00%","0.56%"
"23:00","1.61%","0.28%","0.00%","0.00%","0.00%","0.55%"
"23:30","1.78%","0.30%","0.00%","0.00%","0.00%","0.57%"
"00:00","1.54%","0.28%","0.00%","0.00%","0.00%","0.52%"
"00:30","1.53%","0.27%","0.00%","0.00%","0.00%","0.52%"
"01:00","1.54%","0.27%","0.00%","0.00%","0.00%","0.52%"
"01:30","1.54%","0.28%","0.00%","0.00%","0.00%","0.48%"
"02:00","1.54%","0.28%","0.00%","0.00%","0.00%","0.51%"
"02:30","1.58%","0.28%","0.00%","0.00%","0.00%","0.49%"
"03:00","1.63%","0.29%","0.00%","0.00%","0.00%","0.51%"
"03:30","1.53%","0.27%","0.00%","0.00%","0.00%","0.51%"
"04:00","1.54%","0.27%","0.00%","0.00%","0.00%","0.52%"
"04:30","1.52%","0.28%","0.00%","0.00%","0.00%","0.53%"
"05:00","1.51%","0.28%","0.00%","0.00%","0.00%","0.54%"
"05:30","1.54%","0.28%","0.00%","0.00%","0.00%","0.52%"
"06:00","1.54%","0.28%","0.00%","0.00%","0.00%","0.55%"
"06:30","1.56%","0.28%","0.00%","0.00%","0.00%","0.58%"
"07:00","1.51%","0.28%","0.00%","0.00%","0.00%","0.54%"
"07:30","1.54%","0.28%","0.00%","0.00%","0.00%","0.55%"
"08:00","1.51%","0.28%","0.00%","0.00%","0.00%","0.54%"
"08:30","1.53%","0.28%","0.00%","0.00%","0.00%","0.52%"
"09:00","1.52%","0.28%","0.00%","0.00%","0.00%","0.51%"
"09:30","1.54%","0.28%","0.00%","0.00%","0.00%","0.52%"
"10:00","1.52%","0.29%","0.00%","0.00%","0.00%","0.52%"
"10:30","1.59%","0.31%","0.00%","0.00%","0.00%","0.52%"
"11:00","2.99%","0.34%","0.00%","0.00%","0.01%","0.56%"
"11:30","2.56%","0.35%","0.00%","0.00%","0.01%","0.57%"
"12:00","1.68%","0.29%","0.00%","0.00%","0.00%","0.52%"
"12:30","1.75%","0.30%","0.00%","0.00%","0.00%","0.53%"
"13:00","1.70%","0.32%","0.00%","0.00%","0.01%","0.55%"
"13:30","1.62%","0.29%","0.00%","0.00%","0.00%","0.53%"
"14:00","1.55%","0.27%","0.00%","0.00%","0.00%","0.52%"
