"@timestamp per 30 minutes",Used,Free,Cache
"14:00","5.44GB","412.08MB","2.03GB"
"14:30","5.43GB","364.10MB","2.08GB"
"15:00","5.44GB","317.31MB","2.12GB"
"15:30","5.50GB","297.91MB","2.08GB"
"16:00","5.51GB","303.30MB","2.07GB"
"16:30","5.51GB","286.04MB","2.08GB"
"17:00","5.51GB","258.55MB","2.11GB"
"17:30","5.51GB","270.61MB","2.10GB"
"18:00","5.53GB","261.38MB","2.08GB"
"18:30","5.57GB","256.25MB","2.05GB"
"19:00","5.57GB","267.36MB","2.04GB"
"19:30","5.55GB","269.29MB","2.05GB"
"20:00","5.56GB","244.71MB","2.07GB"
"20:30","5.56GB","264.25MB","2.05GB"
"21:00","5.56GB","274.28MB","2.04GB"
"21:30","5.55GB","272.40MB","2.06GB"
"22:00","5.55GB","252.37MB","2.07GB"
"22:30","5.56GB","283.94MB","2.03GB"
"23:00","5.60GB","261.73MB","2.02GB"
"23:30","5.60GB","254.39MB","2.02GB"
"00:00","5.60GB","278.85MB","2.00GB"
"00:30","5.60GB","281.74MB","1.99GB"
"01:00","5.61GB","258.43MB","2.01GB"
"01:30","5.61GB","248.76MB","2.02GB"
"02:00","5.61GB","251.69MB","2.01GB"
"02:30","5.62GB","310.72MB","1.95GB"
"03:00","5.60GB","330.19MB","1.95GB"
"03:30","5.62GB","289.35MB","1.97GB"
"04:00","5.65GB","270.28MB","1.96GB"
"04:30","5.65GB","254.21MB","1.97GB"
"05:00","5.65GB","265.67MB","1.97GB"
"05:30","5.64GB","259.21MB","1.98GB"
"06:00","5.63GB","280.24MB","1.97GB"
"06:30","5.62GB","269.02MB","1.99GB"
"07:00","5.62GB","269.82MB","1.99GB"
"07:30","5.62GB","257.00MB","2.00GB"
"08:00","5.62GB","262.88MB","1.99GB"
"08:30","5.62GB","261.15MB","2.00GB"
"09:00","5.61GB","264.64MB","2.01GB"
"09:30","5.60GB","273.29MB","2.00GB"
"10:00","5.59GB","268.10MB","2.01GB"
"10:30","5.52GB","317.63MB","2.04GB"
"11:00","5.47GB","327.20MB","2.08GB"
"11:30","5.43GB","333.60MB","2.12GB"
"12:00","5.37GB","327.09MB","2.18GB"
"12:30","5.37GB","306.09MB","2.20GB"
"13:00","5.38GB","260.70MB","2.23GB"
"13:30","5.38GB","233.96MB","2.26GB"
"14:00","5.39GB","227.91MB","2.26GB"
