"@timestamp per 30 minutes",1m,5m,15m
"14:00","0.27","0.258","0.195"
"14:30","0.173","0.187","0.194"
"15:00","0.113","0.103","0.096"
"15:30","0.153","0.139","0.114"
"16:00","0.196","0.19","0.148"
"16:30","0.146","0.143","0.146"
"17:00","0.164","0.137","0.104"
"17:30","0.14","0.151","0.144"
"18:00","0.174","0.159","0.126"
"18:30","0.099","0.092","0.086"
"19:00","0.153","0.156","0.129"
"19:30","0.164","0.155","0.125"
"20:00","0.128","0.115","0.099"
"20:30","0.147","0.134","0.103"
"21:00","0.126","0.121","0.113"
"21:30","0.214","0.211","0.17"
"22:00","0.14","0.141","0.136"
"22:30","0.115","0.112","0.101"
"23:00","0.171","0.158","0.118"
"23:30","0.101","0.093","0.087"
"00:00","0.121","0.111","0.094"
"00:30","0.168","0.147","0.112"
"01:00","0.117","0.132","0.116"
"01:30","0.088","0.079","0.077"
"02:00","0.141","0.127","0.106"
"02:30","0.198","0.193","0.146"
"03:00","0.136","0.133","0.128"
"03:30","0.216","0.195","0.14"
"04:00","0.172","0.131","0.119"
"04:30","0.132","0.17","0.155"
"05:00","0.06","0.064","0.073"
"05:30","0.209","0.195","0.152"
"06:00","0.158","0.15","0.131"
"06:30","0.113","0.097","0.093"
"07:00","0.126","0.123","0.094"
"07:30","0.191","0.157","0.115"
"08:00","0.096","0.111","0.116"
"08:30","0.09","0.091","0.085"
"09:00","0.14","0.128","0.115"
"09:30","0.22","0.207","0.159"
"10:00","0.121","0.112","0.101"
"10:30","0.137","0.132","0.103"
"11:00","0.344","0.307","0.221"
"11:30","0.205","0.214","0.226"
"12:00","0.094","0.105","0.117"
"12:30","0.258","0.243","0.202"
"13:00","0.181","0.183","0.166"
"13:30","0.099","0.093","0.09"
"14:00","0.088","0.071","0.077"
